cust_num,cust_id,3-Yr_spend,2024,2023,2022,prodcode,sales_rep,territory,customer,address,city,state,postal,country,phone,fax,email,Latitude,Longitude,Corrected_Address
276,STA215,"$3,124.00 ",$960.00 ,$504.00 ,"$1,660.00 ",TP,Jlundy,TR04,STAR MANUFACTURING INT. INC.,265 HOBSON STREET,SMITHVILLE,TN,37166,USA,314-781-2777,314-781-5445,APINVOICES@STARHOLDINGSGRP.COM,35.9875921,-85.8080699,"265 Hobson St, Smithville, TN 37166, USA"
1850,KOH002,"$2,971.20 ",$450.00 ,$0.00 ,"$2,521.20 ",TP,sslack,TR01,REHLKO,N7650 County Rd LS,Sheboygan,WI,53083,USA,,,,43.8179538,-87.7433274,"N7650 County Rd LS, Sheboygan, WI 53083, USA"
1250,FRA198,"$2,880.00 ",$0.00 ,$0.00 ,"$2,880.00 ",TP,Jlundy,TR04,FRANKLIN ELECTRIC LATIN AMERICA BV,DUTCH FILE NUMBER 52227936,FT. WAYNE,IN,46809,USA,011 52 821-214-0300,011 52 821-212-8971,FEAP@FELE.COM,41.0005907,-85.2101269,"Fort Wayne, IN 46809, USA"
1446,JLM104,"$2,829.25 ",$471.25 ,$920.00 ,"$1,438.00 ",TP,Jlundy,TR04,JL MARINE SYSTEMS INC,9010 PALM RIVER RD,TAMPA,FL,33619,USA,813-376-6895,,hcoulter@power-pole.com,27.9412508,-82.3558627,"9010 Palm River Rd, Tampa, FL 33619, USA"
1737,CHA002,"$2,813.00 ",$725.00 ,$696.00 ,"$1,392.00 ",TP,Jlundy,TR04,CHARLES RIVER LABORATORIES,Accounts Payable,Willimington,MA,01887-1096,USA,,,AP_US_INVOICES@crl.com,42.5682996,-71.1567344,"Wilmington, MA 01887, USA"
57,DYN002,"$2,662.00 ",$726.00 ,$726.00 ,"$1,210.00 ",TP,Jlundy,TR04,"DYNEX TECHNOLOGIES, INC",14340 SULLYFIELD CIRCLE,CHANTILLY,VA,20151,USA,703-803-1271,703-631-7833,ACCOUNTSPAYABLE@DYNEX.COM,38.8905863,-77.4406789,"14340 Sullyfield Cir, Chantilly, VA 20151, USA"
202,SUB001,"$2,542.50 ",$0.00 ,$0.00 ,"$2,542.50 ",TP,sslack,TR01,THE CHARLES MACHINE WORKS INC,ACCOUNTS PAYABLE,PERRY,OK,73077,USA,580-572-2821,580-572-3505,INVOICE@CHARLESMACHINEWORKS.COM,36.2894855,-97.2880983,"Perry, OK 73077, USA"
1882,EVO001,"$1,988.25 ",$0.00 ,$0.00 ,"$1,988.25 ",TP,sslack,TR01,EVOLVE HEALTH & PERFORMANCE,139 East Saint Elmo Rd,Austin,TX,78745,USA,410-370-1549,,info@evolvehp.life,30.2165649,-97.7659292,"139 E St Elmo Rd, Austin, TX 78745, USA"
2039,DAV002,"$1,935.14 ",$0.00 ,"$1,935.14 ",$0.00 ,TP,Jlundy,TR04,DAVI AUDIO INC,1533 Lobelia Drive,Lake Mary,FL,32746,USA,,,kloe@daviaudio.com,28.76365599999999,-81.342507,"1533 Lobelia Dr, Lake Mary, FL 32746, USA"
1158,ALL002,"$1,925.00 ","$1,925.00 ",$0.00 ,$0.00 ,TP,JLundy,TR04,ALLIED MOTION DOTHAN,3887 NAPIER FIELD RD,DOTHAN,AL,36303,USA,334-983-3542,,INVOICE.DAY@ALLIEDMOTION.COM,31.2821489,-85.4484987,"3887 Napier Field Rd, Dothan, AL 36303, USA"
1818,NYX001,"$1,780.00 ",$620.00 ,$0.00 ,"$1,160.00 ",TP,Dlindstr,IH,NYXOAH SA,Rue Edouard Belin 12,Belgium,,,Belgium,972-3-7716955,,ILFINANCE@NYXOAH.COM,50.6584831,4.6282928,"Rue Edouard Belin 12, 1435 Mont-Saint-Guibert, Belgium"
1351,NOL001,"$1,752.00 ",$0.00 ,"$1,752.00 ",$0.00 ,TP,Jlundy,TR04,THE NOLAN COMPANY,1016 NINTH STREET SW,CANTON,OH,44707,USA,330-453-7922,330-453-7449,AP@EVERHARD.COM,40.7922862,-81.3854119,"1016 9th St SW, Canton, OH 44707, USA"
275,COI108,"$1,561.56 ","$1,561.56 ",$0.00 ,$0.00 ,INJ,sslack,TR01,COIN ACCEPTORS INC,ACCOUNTS PAYABLE,ST LOUIS,MO,63124,USA,314-725-0600,314-725-1234,LCONNER@COINCO.COM,38.6418687,-90.3842527,"St. Louis, MO 63124, USA"
205,SUP001,"$1,512.22 ",$0.00 ,$0.00 ,"$1,512.22 ",TP,Dlindstr,IH,SUPER TECHNOLOGIES,PLOT NO. 84,SECUNDERABAD,TELANGANA,500 009,India,+91-40-2775 5249,,ACCOUNTS@SUPERTECHNOLOGIES.NET,17.4477295,78.5157181,"84, Road, Street Number 8, opp. to St Francis school, Trimoorthy Colony, Mahendra Hills, East Marredpally, Secunderabad, Telangana 500026, India"
415,OAK126,"$1,425.00 ",$0.00 ,$0.00 ,"$1,425.00 ",MISC,Jlundy,TR04,OAK RIDGE NATIONAL LABORATORY,PO BOX 2008,Oak Ridge,TN,37381,USA,865 946 1860,,hillam@ornl.gov,35.6974597,-84.8776392,"WATTS BAR DAM, TN 37381, USA"
105,IRI001,"$1,407.00 ",$630.00 ,$0.00 ,$777.00 ,TP,Jlundy,TR04,IRIS POWER,3110 AMERICAN DRIVE,MISSISSUAGA,ON,L4V 1T2,Canada,905-677-4824,905-677-8498,accountspayable.canada@qualitrolcorp.com,43.6908723,-79.6189673,"3110 American Dr, Mississauga, ON L4V 1T2, Canada"
115,KIS001,"$1,398.00 ",$0.00 ,$699.00 ,$699.00 ,TP,Jlundy,TR04,KISTLER INSTRUMENT CORP,75 JOHN GLENN DR,AMHERST,NY,14228,USA,716-213-5740,716-691-2704,KIC.PAYABLES@KISTLER.COM,43.0319998,-78.807509,"75 John Glenn Dr, Buffalo, NY 14228, USA"
877,WEL142,"$1,380.00 ",$0.00 ,$460.00 ,$920.00 ,TP,sslack,TR01,WELLS VEHICLE ELECTRONICS,385 W. ROLLING MEADOWS DR,FOND DU LAC,WI,54936,USA,(920) 926-6621,,accountspayable@WELLSVE.COM,43.7510928,-88.4689239,"385 W Rolling Meadows Dr, Fond du Lac, WI 54937, USA"
236,MAG006,"$1,306.20 ",$991.20 ,$315.00 ,$0.00 ,TPAV,Dlindstr,IH,BUNTING MAGNETICS EUROPE LTD,NORTHBRIDGE ROAD,BERKHAMSTED HERTFORDSHIRE,,HP41EH,United Kingdom,1.14414E+13,1.14414E+13,,51.76830349999999,-0.58083,"Northbridge Road, Berkhamsted HP4 1EH, UK"
1355,SLM103,"$1,055.22 ",$0.00 ,"$1,055.22 ",$0.00 ,TP,sslack,TR01,SL MONTEVIDEO TECH INC,8201 109TH ST,PLEASANT PRAIRIE,WI,53158,USA,262-947-2220,262-947-2221,judy.harsch@mtimotion.com,42.5164336,-87.9057768,"8201 109th St, Pleasant Prairie, WI 53158, USA"
9,ASS001,$970.05 ,$0.00 ,$549.55 ,$420.50 ,TP,Jlundy,TR04,ASSOCIATED SOLUTIONS,5905 DECATUR BLVD,INDIANAPOLIS,IN,46241,USA,,,AMHI_Invoicecapture@concursolutions.com,39.67725739999999,-86.2990844,"5905 Decatur Blvd, Indianapolis, IN 46241, USA"
185,ROH001,$962.50 ,$481.25 ,$0.00 ,$481.25 ,TP,Mac Kern,TR10,COSASCO SYSTEMS INC,11841 SMITH AVENUE,SANTA FE SPRINGS,CA,90670,USA,562-949-0123,562-949-3065,APTeam@cosasco.com,33.9497757,-118.0773344,"11841 Smith Ave, Santa Fe Springs, CA 90670, USA"
122,LOG001,$870.00 ,$0.00 ,$0.00 ,$870.00 ,TP,Jlundy,TR04,LOGUS MFG CORP,1711 LONGWOOD RD,WEST PALM BEACH,FL,33409,USA,561-842-3550,561-842-2196,,26.697824,-80.0768843,"1711 Longwood Rd, West Palm Beach, FL 33409, USA"
204,SUN002,$480.69 ,$0.00 ,$0.00 ,$480.69 ,TP,Jlundy,TR04,SUNRISE DRILLING SUPPLY INC.,P.O. BOX 21,SYKESVILLE,PA,15865,USA,814-894-5005,814-894-7978,suzannehaag@sunrisedrillingsupply.com,41.0504203,-78.8224251,"Sykesville, PA 15865, USA"
1557,RON129,$468.75 ,$468.75 ,$0.00 ,$0.00 ,TP,Jlundy,TR04,"RON GLOSSER, INC.",1545 EAST END ROAD,SHIPPENVILLE,PENNSYLVANIA,16254,USA,814-226-4264,,,41.1900523,-79.4596223,"1545 East End Rd, Shippenville, PA 16254, USA"
1460,ONS001,$455.00 ,$455.00 ,$0.00 ,$0.00 ,TP,Jlundy,TR04,Onset Computer,470 MacArthur Blvd.,Bourne,MA,2532,USA,508-759-9500,508-759-5349,APinvoices@onsetcomp.com,41.7103799,-70.585011,"470 MacArthur Blvd, Bourne, MA 02532, USA"
169,PER003,$453.70 ,$0.00 ,$0.00 ,$453.70 ,TP,Mac Kern,TR10,PERTECH INDUSTRIES INC,860 COLLEGE VIEW DRIVE,RIVERTON,WY,82501,USA,307-856-4821,307-856-5020,LOU.STIMMEL@PERTECHINDUSTRIES.COM,43.0326534,-108.4219718,"860 College View Dr, Riverton, WY 82501, USA"
1018,PEN213,$451.30 ,$0.00 ,$451.30 ,$0.00 ,TP,JLundy,TR04,PENN STATE UNIVERSITY,"Barbara Baker, RM C4864",Hershey,PA,17033,USA,717-531-6228,,BBAKER7@PENNSTATEHEALTH.PSU.EDU,40.2713328,-76.6297189,"Hershey, PA 17033, USA"
1088,ZIP100,$450.00 ,$450.00 ,$0.00 ,$0.00 ,B10,Jlundy,TR04,ZIPPO MANUFACTURING,33 BARBOUR ST,BRADFORD,PA,16701,USA,,,,41.9561071,-78.652728,"33 Barbour St, Bradford, PA 16701, USA"
1389,WAR001,$450.00 ,$450.00 ,$0.00 ,$0.00 ,TP,Jlundy,TR04,WARING PRODUCTS (A DIVISION OF CONAIR CORP),314 ELLA T. GRASSO AVE,TORRINGTON,CT,6790,USA,(860) 496-3100,,accounts_payable@conair.com,41.868458,-73.0720428,"314 Ella Grasso Ave, Torrington, CT 06790, USA"
1562,LEE120,$450.00 ,$0.00 ,$0.00 ,$450.00 ,TP,Jlundy,TR04,"LEE CONCEPTS, LLC",124 KIRKWOOD DRIVE,EAST AURORA,NEW YORK,14052,USA,,,roger.bantle@lee-concepts.com,42.7763394,-78.6160499,"124 Kirkwood Dr, East Aurora, NY 14052, USA"
1923,LAS001,$450.00 ,$450.00 ,$0.00 ,$0.00 ,TP,Mac Kern,TR10,LASER COMPONENTS DG,2277 N Nevada St,Chandler,AZ,85225,USA,,,cbrown@laser-components.com,33.3392996,-111.8350831,"2277 N Nevada St, Chandler, AZ 85225, USA"
2027,PEL001,$450.00 ,$0.00 ,$0.00 ,$450.00 ,TP,Mac Kern,TR04,PELOTON INTERACTIVE INC,13975 Blaisdell Pl,Poway,CA,92064,USA,,,invoices@onepeloton.com,32.9400657,-117.0306114,"13975 Blaisdell Pl, Poway, CA 92064, USA"
